job,marital,education,default,housing,loan,contact,month,poutcome,y
student,single,secondary,no,no,no,cellular,aug,other,no
technician,married,secondary,no,no,no,cellular,aug,unknown,no
admin.,married,secondary,no,yes,no,cellular,aug,unknown,no
entrepreneur,married,tertiary,no,no,no,cellular,nov,unknown,no
student,married,secondary,no,yes,no,cellular,jan,unknown,no
retired,married,primary,no,no,no,telephone,jan,failure,no
technician,married,tertiary,no,yes,no,cellular,feb,unknown,no
blue-collar,married,secondary,no,yes,yes,unknown,may,unknown,no
technician,single,secondary,no,no,no,cellular,aug,unknown,no
services,married,secondary,no,yes,no,unknown,jun,unknown,no
management,married,tertiary,no,yes,no,unknown,may,unknown,no
management,married,tertiary,no,yes,no,cellular,aug,unknown,no
technician,married,tertiary,no,no,no,cellular,aug,unknown,no
admin.,single,tertiary,no,yes,no,cellular,nov,failure,no
management,single,tertiary,no,yes,no,cellular,apr,unknown,no
blue-collar,married,secondary,no,yes,no,cellular,may,failure,no
blue-collar,married,primary,no,no,no,cellular,aug,unknown,no
student,single,secondary,no,no,no,telephone,apr,unknown,no
technician,married,tertiary,no,no,no,cellular,aug,unknown,no
technician,divorced,secondary,no,no,yes,cellular,aug,unknown,no
technician,single,tertiary,no,yes,no,cellular,jul,unknown,no
management,married,tertiary,yes,yes,no,cellular,nov,unknown,no
retired,married,secondary,no,no,no,cellular,sep,failure,no
self-employed,married,tertiary,no,no,no,unknown,jun,unknown,no
admin.,single,secondary,no,yes,yes,cellular,may,other,no
blue-collar,divorced,primary,no,yes,no,unknown,may,unknown,no
technician,married,secondary,no,yes,no,cellular,feb,failure,no
entrepreneur,married,secondary,no,no,no,unknown,may,unknown,no
retired,single,primary,no,no,no,cellular,jul,unknown,no
services,married,secondary,no,no,no,cellular,nov,unknown,no
services,single,secondary,no,no,no,cellular,jan,unknown,no
management,married,tertiary,no,yes,no,cellular,nov,unknown,no
management,single,tertiary,no,no,no,cellular,aug,unknown,no
technician,married,tertiary,no,yes,no,unknown,may,unknown,no
blue-collar,married,secondary,no,no,no,cellular,feb,other,no
services,married,secondary,no,yes,no,cellular,may,unknown,no
blue-collar,married,secondary,no,yes,no,unknown,jun,unknown,no
management,married,tertiary,no,no,no,cellular,aug,unknown,no
housemaid,married,primary,no,no,no,unknown,jun,unknown,no
technician,married,secondary,no,yes,no,unknown,jun,unknown,no
entrepreneur,married,primary,no,yes,no,unknown,may,unknown,no
unemployed,married,primary,no,no,no,cellular,feb,unknown,no
self-employed,single,secondary,no,no,no,cellular,jan,unknown,no
housemaid,married,secondary,no,no,no,telephone,feb,failure,no
management,divorced,secondary,no,no,yes,cellular,aug,unknown,no
blue-collar,married,primary,no,yes,no,cellular,feb,unknown,no
management,married,tertiary,no,no,no,cellular,may,unknown,no
management,single,tertiary,no,no,no,cellular,aug,unknown,no
blue-collar,single,secondary,no,yes,no,cellular,apr,failure,no
management,married,tertiary,no,no,no,cellular,oct,unknown,no
technician,married,secondary,no,yes,no,cellular,aug,unknown,no
blue-collar,married,secondary,no,yes,no,cellular,may,unknown,no
entrepreneur,married,secondary,no,no,no,cellular,jul,unknown,no
technician,single,tertiary,no,no,no,cellular,aug,unknown,no
services,divorced,secondary,no,yes,no,cellular,may,other,yes
self-employed,single,tertiary,no,no,no,unknown,jun,unknown,yes
unemployed,single,tertiary,no,no,no,cellular,jun,unknown,yes
management,married,tertiary,no,yes,no,cellular,aug,unknown,yes
management,single,tertiary,no,yes,no,cellular,aug,failure,yes
technician,married,tertiary,no,no,no,cellular,aug,unknown,yes
student,single,tertiary,no,no,no,cellular,sep,other,yes
unknown,married,secondary,no,no,no,cellular,nov,other,yes
retired,divorced,primary,no,no,no,telephone,oct,unknown,yes
blue-collar,single,secondary,no,yes,no,cellular,may,unknown,yes
technician,divorced,secondary,no,no,yes,telephone,oct,unknown,yes
technician,married,secondary,no,yes,no,cellular,nov,success,yes
management,married,tertiary,no,no,no,cellular,jul,success,yes
self-employed,divorced,tertiary,no,no,no,unknown,jun,unknown,yes
self-employed,single,tertiary,no,no,no,cellular,aug,unknown,yes
technician,single,tertiary,no,yes,no,unknown,may,unknown,yes
unemployed,married,secondary,no,no,no,cellular,sep,success,yes
unknown,married,secondary,no,no,no,cellular,nov,other,yes
unemployed,married,primary,no,yes,no,cellular,dec,unknown,yes
blue-collar,single,primary,no,yes,no,cellular,may,other,yes
entrepreneur,married,secondary,no,no,no,telephone,aug,success,yes
management,single,tertiary,no,no,no,cellular,jan,unknown,yes
retired,married,secondary,no,yes,no,cellular,apr,unknown,yes
technician,single,secondary,no,no,no,cellular,feb,unknown,yes
retired,married,secondary,no,no,no,telephone,apr,success,yes
management,married,tertiary,no,yes,yes,cellular,jul,unknown,yes
management,married,tertiary,no,yes,no,cellular,nov,other,yes
student,single,secondary,no,no,no,cellular,apr,unknown,yes
housemaid,married,primary,no,no,no,cellular,nov,unknown,yes
unknown,married,primary,no,no,no,cellular,oct,unknown,yes
technician,single,tertiary,no,yes,no,cellular,apr,unknown,yes
blue-collar,married,secondary,no,yes,no,cellular,jul,unknown,yes
management,married,tertiary,no,yes,no,unknown,jun,unknown,yes
services,single,secondary,no,yes,no,cellular,may,other,yes
retired,married,primary,no,no,no,telephone,jun,failure,yes
services,married,secondary,no,yes,no,cellular,may,unknown,yes
services,married,tertiary,no,yes,no,cellular,aug,other,yes
blue-collar,married,unknown,no,yes,no,telephone,jul,unknown,yes
technician,single,secondary,no,no,no,cellular,jul,success,yes
technician,married,secondary,no,no,no,cellular,nov,success,yes
technician,married,tertiary,no,no,no,cellular,aug,unknown,yes
management,single,tertiary,no,yes,yes,cellular,jul,unknown,yes
student,single,secondary,no,no,no,cellular,jul,unknown,yes
services,divorced,secondary,no,no,no,cellular,nov,success,yes
technician,married,secondary,no,yes,no,cellular,aug,unknown,yes
retired,married,tertiary,no,no,no,cellular,aug,unknown,yes
admin.,single,secondary,no,yes,no,unknown,may,other,yes
services,married,tertiary,no,yes,no,cellular,aug,other,yes
blue-collar,single,secondary,no,yes,no,cellular,may,unknown,yes
housemaid,married,primary,no,no,no,cellular,feb,failure,yes
housemaid,married,primary,no,no,yes,unknown,jun,unknown,yes
services,married,secondary,no,no,no,cellular,apr,unknown,yes
retired,married,primary,no,no,no,telephone,jan,success,yes
self-employed,divorced,tertiary,no,yes,no,cellular,oct,success,yes
management,married,tertiary,no,yes,no,cellular,mar,success,yes
retired,married,primary,no,no,no,telephone,jul,unknown,yes
services,single,secondary,no,yes,no,cellular,may,other,yes
management,married,tertiary,no,no,no,cellular,feb,success,yes
management,divorced,tertiary,no,yes,yes,telephone,nov,unknown,yes
blue-collar,married,secondary,no,yes,no,cellular,jul,unknown,yes
retired,divorced,secondary,no,no,no,unknown,nov,unknown,yes
blue-collar,single,secondary,no,yes,yes,cellular,may,unknown,yes
self-employed,married,secondary,no,no,no,cellular,aug,unknown,yes
admin.,married,secondary,no,yes,no,cellular,nov,failure,yes
blue-collar,married,secondary,no,no,no,cellular,aug,unknown,yes
self-employed,divorced,tertiary,no,yes,no,cellular,oct,success,yes
student,single,secondary,no,no,no,telephone,aug,unknown,yes
retired,married,primary,no,no,no,cellular,oct,failure,yes
